username,title,year,rating,film_slug
jay,Ma,2019.0,4,ma-2019
jay,Murder Mystery,,2,murder-mystery
jay,Matthias & Maxime,,8,matthias-maxime
jay,Parasite,2019.0,10,parasite-2019
jay,Once Upon a Time... in Hollywood,,5,once-upon-a-time-in-hollywood
jay,Portrait of a Lady on Fire,,8,portrait-of-a-lady-on-fire
jay,The Lighthouse,2019.0,10,the-lighthouse-2019
jay,Rocketman,2019.0,6,rocketman-2019
jay,John Wick: Chapter 3 – Parabellum,,7,john-wick-chapter-3-parabellum
jay,Wine Country,,4,wine-country
jay,Yesterday,2019.0,4,yesterday-2019
jay,Tolkien,2019.0,4,tolkien-2019
jay,Pokémon Detective Pikachu,,6,pokemon-detective-pikachu
jay,The Kill Team,2019.0,5,the-kill-team-2019
jay,Avengers: Endgame,,5,avengers-endgame
jay,HOMECOMING: A film by Beyoncé,,8,homecoming-a-film-by-beyonce
jay,The Perfect Date,2019.0,4,the-perfect-date-2019
jay,After,2019.0,2,after-2019
jay,Hellboy,2019.0,2,hellboy-2019
jay,The Silence,2019.0,3,the-silence-2019
jay,Five Feet Apart,,4,five-feet-apart
jay,Dumbo,2019.0,5,dumbo-2019
jay,Booksmart,,6,booksmart
jay,The Peanut Butter Falcon,,6,the-peanut-butter-falcon
jay,Long Shot,2019.0,7,long-shot-2019
jay,Us,2019.0,6,us-2019
jay,Triple Frontier,,6,triple-frontier
jay,Happy Death Day 2U,,6,happy-death-day-2u
jay,Isn't It Romantic,2019.0,4,isnt-it-romantic-2019
jay,Alita: Battle Angel,,5,alita-battle-angel
jay,The Souvenir,,4,the-souvenir
jay,Velvet Buzzsaw,,4,velvet-buzzsaw
jay,Wounds,,2,wounds
jay,The Last Black Man in San Francisco,,8,the-last-black-man-in-san-francisco
jay,"Extremely Wicked, Shockingly Evil and Vile",,5,extremely-wicked-shockingly-evil-and-vile
jay,The Hole in the Ground,2019.0,6,the-hole-in-the-ground-2019
jay,The Lodge,2019.0,7,the-lodge-2019
jay,Honey Boy,,8,honey-boy
jay,Polar,2019.0,2,polar-2019
jay,Serenity,2019.0,2,serenity-2019
jay,Fyre,2019.0,6,fyre-2019
jay,Glass,2019.0,5,glass-2019
jay,Escape Room,2019.0,5,escape-room-2019
jay,Holmes & Watson,,1,holmes-watson
jay,Welcome to Marwen,,3,welcome-to-marwen
jay,Vice,2018.0,5,vice-2018
jay,Dumplin',,7,dumplin
jay,Spider-Man: Into the Spider-Verse,,8,spider-man-into-the-spider-verse
jay,Aquaman,2018.0,4,aquaman-2018
jay,Mary Queen of Scots,2018.0,4,mary-queen-of-scots-2018
jay,Dragon Ball Super: Broly,,7,dragon-ball-super-broly
jay,Creed II,,7,creed-ii
jay,Bird Box,,6,bird-box
jay,The Grinch,,4,the-grinch
jay,The Nutcracker and the Four Realms,,3,the-nutcracker-and-the-four-realms
jay,The Princess Switch,,2,the-princess-switch
jay,Bohemian Rhapsody,,3,bohemian-rhapsody-the-complete-live-aid-performance
jay,Venom,2018.0,4,venom-2018
jay,Bad Times at the El Royale,,7,bad-times-at-the-el-royale
jay,Apostle,2018.0,7,apostle-2018
jay,Johnny English Strikes Again,,4,johnny-english-strikes-again
jay,Hold the Dark,,6,hold-the-dark
jay,Green Book,,5,green-book
jay,The Death & Life of John F. Donovan,,5,the-death-life-of-john-f-donovan
jay,Slice,2018.0,3,slice-2018
jay,If Beale Street Could Talk,,8,if-beale-street-could-talk
jay,Widows,2018.0,8,widows-2018
jay,Life Itself,2018.0,2,life-itself-2018
jay,Halloween,2018.0,6,halloween-2018
jay,Sierra Burgess Is a Loser,,4,sierra-burgess-is-a-loser
jay,The Predator,,4,the-predator
jay,Vox Lux,,8,vox-lux
jay,At Eternity's Gate,,7,at-eternitys-gate
jay,Suspiria,2018.0,8,suspiria-2018
jay,The Quake,,5,the-quake
jay,A Star Is Born,2018.0,7,a-star-is-born-2018
jay,The Front Runner,,4,the-front-runner
jay,The Ballad of Buster Scruggs,,7,the-ballad-of-buster-scruggs
jay,Roma,2018.0,9,roma-2018
jay,The Favourite,,10,the-favourite
jay,First Man,,7,first-man
jay,Skin,,1,skin-2018-1
jay,To All the Boys I've Loved Before,,6,to-all-the-boys-ive-loved-before
jay,The Package,2018.0,3,the-package-2018
jay,Billionaire Boys Club,2018.0,3,billionaire-boys-club-2018
jay,Mission: Impossible – Fallout,,9,mission-impossible-fallout
jay,Mamma Mia! Here We Go Again,,7,mamma-mia-here-we-go-again
jay,Tau,2018.0,5,tau-2018
jay,Sicario: Day of the Soldado,,4,sicario-day-of-the-soldado
jay,Jurassic World: Fallen Kingdom,,5,jurassic-world-fallen-kingdom
jay,Ocean's Eight,,6,oceans-eight
jay,Tag,2018.0,4,tag-2018
jay,Slender Man,,1,slender-man
jay,Under the Silver Lake,,5,under-the-silver-lake
jay,BlacKkKlansman,,8,blackkklansman
jay,Climax,2018.0,9,climax-2018
jay,Fahrenheit 451,2018.0,4,fahrenheit-451-2018
jay,The Kissing Booth,,1,the-kissing-booth
jay,Anon,,3,anon
jay,Avengers: Infinity War,,6,avengers-infinity-war
jay,Truth or Dare,2018.0,2,truth-or-dare-2018
