username,title,year,rating,film_slug,year_clean,title_norm,tmdb_id
jaragon23,Rye Lane,2023,8,rye-lane,,ryelane,1049638
jaragon23,You Hurt My Feelings,2023,7,you-hurt-my-feelings-2023,2023.0,youhurtmyfeelings,890215
jaragon23,A Thousand and One,2023,8,a-thousand-and-one,,athousandandone,855263
jaragon23,Past Lives,2023,10,past-lives,,pastlives,666277
jaragon23,Infinity Pool,2023,8,infinity-pool,,infinitypool,667216
jaragon23,Polite Society,2023,7,polite-society,,politesociety,977223
jaragon23,Missing,2023,7,missing-2023,2023.0,missing,768362
jaragon23,Plane,2023,5,plane-2023,2023.0,plane,646389
jaragon23,Operation Fortune: Ruse de Guerre,2023,6,operation-fortune-ruse-de-guerre,,operationfortunerusedeguerre,739405
jaragon23,The Pale Blue Eye,2022,5,the-pale-blue-eye,,thepaleblueeye,800815
jaragon23,Babylon,2022,10,babylon-2022,2022.0,babylon,615777
jaragon23,M3GAN,2022,7,m3gan,,m3gan,536554
jaragon23,Avatar: The Way of Water,2022,8,avatar-the-way-of-water,,avatarthewayofwater,76600
jaragon23,Puss in Boots: The Last Wish,2022,8,puss-in-boots-the-last-wish,,pussinbootsthelastwish,315162
jaragon23,Strange World,2022,6,strange-world-2022,2022.0,strangeworld,877269
jaragon23,Talk to Me,2022,8,talk-to-me-2022,2022.0,talktome,1008042
jaragon23,Black Panther: Wakanda Forever,2022,8,black-panther-wakanda-forever,,blackpantherwakandaforever,505642
jaragon23,Guillermo del Toro's Pinocchio,2022,9,guillermo-del-toros-pinocchio,,guillermodeltorospinocchio,555604
jaragon23,Black Adam,2022,4,black-adam,,blackadam,436270
jaragon23,"Lyle, Lyle, Crocodile",2022,5,lyle-lyle-crocodile,,"lyle,lyle,crocodile",830784
jaragon23,Halloween Ends,2022,5,halloween-ends,,halloweenends,616820
jaragon23,Hundreds of Beavers,2024,8,hundreds-of-beavers,,hundredsofbeavers,1019939
jaragon23,Entergalactic,2022,7,entergalactic,,entergalactic,1027014
jaragon23,Hellraiser,2022,6,hellraiser-2022,2022.0,hellraiser,338947
jaragon23,Hocus Pocus 2,2022,4,hocus-pocus-2,,hocuspocus2,642885
jaragon23,Smile,2022,6,smile-2022,2022.0,smile,882598
jaragon23,Do Revenge,2022,7,do-revenge,,dorevenge,762968
jaragon23,Sanctuary,2022,7,sanctuary-2022,2022.0,sanctuary,870518
jaragon23,All Quiet on the Western Front,2022,8,all-quiet-on-the-western-front-2022,2022.0,allquietonthewesternfront,49046
jaragon23,Sick,2022,7,sick-2022,2022.0,sick,829410
jaragon23,The Good Nurse,2022,6,the-good-nurse,,thegoodnurse,541134
jaragon23,Wendell & Wild,2022,7,wendell-wild,,wendell&wild,511817
jaragon23,The Blackening,2023,7,the-blackening,,theblackening,1008392
jaragon23,How to Blow Up a Pipeline,2023,9,how-to-blow-up-a-pipeline,,howtoblowupapipeline,1008048
jaragon23,The Fabelmans,2022,9,the-fabelmans,,thefabelmans,804095
jaragon23,Glass Onion,2022,7,glass-onion,,glassonion,661374
jaragon23,Causeway,2022,8,causeway,,causeway,595586
jaragon23,The Menu,2022,8,the-menu-2022,2022.0,themenu,593643
jaragon23,Sisu,2022,6,sisu-2022,2022.0,sisu,840326
jaragon23,See How They Run,2022,7,see-how-they-run-2022,2022.0,seehowtheyrun,766475
jaragon23,The Woman King,2022,8,the-woman-king,,thewomanking,724495
jaragon23,Weird: The Al Yankovic Story,2022,7,weird-the-al-yankovic-story-2022,2022.0,weirdthealyankovicstory,928344
jaragon23,The Inspection,2022,6,the-inspection,,theinspection,837938
jaragon23,Blonde,2022,3,blonde-2022,2022.0,blonde,301502
jaragon23,Bros,2022,7,bros,,bros,614939
jaragon23,Pinocchio,2022,2,pinocchio-2022,2022.0,pinocchio,413518
jaragon23,The Banshees of Inisherin,2022,9,the-banshees-of-inisherin,,thebansheesofinisherin,674324
jaragon23,Don't Worry Darling,2022,5,dont-worry-darling,,dontworrydarling,619730
jaragon23,The Whale,2022,5,the-whale-2022,2022.0,thewhale,785084
jaragon23,Empire of Light,2022,5,empire-of-light,,empireoflight,814757
jaragon23,Pearl,2022,8,pearl-2022,2022.0,pearl,949423
jaragon23,Women Talking,2022,8,women-talking,,womentalking,777245
jaragon23,All the Beauty and the Bloodshed,2022,9,all-the-beauty-and-the-bloodshed,,allthebeautyandthebloodshed,1004663
jaragon23,The Wonder,2022,7,the-wonder,,thewonder,823766
jaragon23,Bones and All,2022,10,bones-and-all,,bonesandall,791177
jaragon23,"BARDO, False Chronicle of a Handful of Truths",2022,6,bardo-false-chronicle-of-a-handful-of-truths,,"bardo,falsechronicleofahandfuloftruths",685691
jaragon23,TÁR,2022,9,tar-2022,2022.0,tár,817758
jaragon23,White Noise,2022,5,white-noise-2022,2022.0,whitenoise,744594
jaragon23,Terrifier 2,2022,7,terrifier-2,,terrifier2,663712
jaragon23,Barbarian,2022,8,barbarian-2022,2022.0,barbarian,913290
jaragon23,Beast,2018,6,beast-2022-1,,beast,470918
jaragon23,Fall,2022,5,fall-2022,2022.0,fall,985939
jaragon23,Prey,2022,8,prey-2022,2022.0,prey,766507
jaragon23,Not Okay,2022,6,not-okay,,notokay,838330
jaragon23,Orphan: First Kill,2022,7,orphan-first-kill,,orphanfirstkill,760161
jaragon23,Skinamarink,2023,4,skinamarink,,skinamarink,994143
jaragon23,Bullet Train,2022,7,bullet-train,,bullettrain,718930
jaragon23,Nope,2022,10,nope,,nope,762504
jaragon23,Mrs. Harris Goes to Paris,2022,7,mrs-harris-goes-to-paris,,mrsharrisgoestoparis,754609
jaragon23,The Gray Man,2022,3,the-gray-man-2022,2022.0,thegrayman,725201
jaragon23,Where the Crawdads Sing,2022,4,where-the-crawdads-sing,,wherethecrawdadssing,682507
