username,title,year,rating,film_slug,tmdb_id
kurstboy,Donnie Darko,,7,donnie-darko,
kurstboy,The Emperor's New Groove,,7,the-emperors-new-groove,
kurstboy,Cast Away,,7,cast-away,
kurstboy,How the Grinch Stole Christmas,2000.0,4,how-the-grinch-stole-christmas-2000,
kurstboy,Rugrats in Paris: The Movie,,5,rugrats-in-paris-the-movie,
kurstboy,Meet the Parents,,6,meet-the-parents,
kurstboy,Remember the Titans,,6,remember-the-titans,
kurstboy,Sexy Beast,,9,sexy-beast,
kurstboy,Best in Show,,9,best-in-show,
kurstboy,Almost Famous,,8,almost-famous,
kurstboy,Memento,,9,memento,
kurstboy,Maelström,,7,maelstrom,
kurstboy,MVP: Most Valuable Primate,,3,mvp-most-valuable-primate,
kurstboy,Rejected,,8,rejected,
kurstboy,Chicken Run,,4,chicken-run,
kurstboy,For the Birds,,8,for-the-birds,
kurstboy,In the Mood for Love,,9,in-the-mood-for-love,
kurstboy,Mission: Impossible II,,5,mission-impossible-ii,
kurstboy,Dancer in the Dark,,7,dancer-in-the-dark,
kurstboy,Yi Yi,,10,yi-yi,
kurstboy,Requiem for a Dream,,8,requiem-for-a-dream,
kurstboy,"O Brother, Where Art Thou?",,9,o-brother-where-art-thou,
kurstboy,Songs from the Second Floor,,9,songs-from-the-second-floor,
kurstboy,Gladiator,2000.0,8,gladiator-2000,
kurstboy,Erin Brockovich,,8,erin-brockovich,
kurstboy,An Extremely Goofy Movie,,6,an-extremely-goofy-movie,
kurstboy,Barking Dogs Never Bite,,6,barking-dogs-never-bite,
kurstboy,Mysterious Object at Noon,,8,mysterious-object-at-noon,
kurstboy,American Psycho,,7,american-psycho,
kurstboy,Stuart Little,,5,stuart-little,
kurstboy,The Talented Mr. Ripley,,8,the-talented-mr-ripley,
kurstboy,"Girl, Interrupted",,7,girl-interrupted,
kurstboy,Magnolia,,8,magnolia,
kurstboy,Toy Story 2,,8,toy-story-2,
kurstboy,Bringing Out the Dead,,9,bringing-out-the-dead,
kurstboy,Audition,,7,audition,
kurstboy,But I'm a Cheerleader,,8,but-im-a-cheerleader,
kurstboy,Fight Club,,9,fight-club,
kurstboy,American Beauty,,10,american-beauty,
kurstboy,Beau Travail,,10,beau-travail,
kurstboy,Being John Malkovich,,9,being-john-malkovich,
kurstboy,Dick,,8,dick,
kurstboy,The Sixth Sense,,7,the-sixth-sense,
kurstboy,The Iron Giant,,9,the-iron-giant,
kurstboy,My Neighbors the Yamadas,,9,my-neighbors-the-yamadas,
kurstboy,Muppets from Space,,4,muppets-from-space,
kurstboy,Eyes Wide Shut,,8,eyes-wide-shut,
kurstboy,Tarzan,,6,tarzan,
kurstboy,Rosetta,,8,rosetta,
kurstboy,The Straight Story,,9,the-straight-story,
kurstboy,Ghost Dog: The Way of the Samurai,,9,ghost-dog-the-way-of-the-samurai,
kurstboy,The Virgin Suicides,,6,the-virgin-suicides,
kurstboy,Election,,10,election,
kurstboy,The Mummy,1999.0,8,the-mummy-1999,
kurstboy,All About My Mother,,9,all-about-my-mother,
kurstboy,10 Things I Hate About You,,7,10-things-i-hate-about-you,
kurstboy,The Matrix,,10,the-matrix,
kurstboy,Office Space,,8,office-space,
kurstboy,Jawbreaker,,8,jawbreaker,
kurstboy,The Blair Witch Project,,6,the-blair-witch-project,
kurstboy,You've Got Mail,,7,youve-got-mail,
kurstboy,Kirikou and the Sorceress,,8,kirikou-and-the-sorceress,
kurstboy,Babe: Pig in the City,,9,babe-pig-in-the-city,
kurstboy,A Bug's Life,,6,a-bugs-life,
kurstboy,Belly,,8,belly,
kurstboy,Bride of Chucky,,7,bride-of-chucky,
kurstboy,Rushmore,,8,rushmore,
kurstboy,After Life,,9,after-life,
kurstboy,Bullet Ballet,,8,bullet-ballet,
kurstboy,Pokémon: The First Movie,,7,pokemon-the-first-movie,
kurstboy,Out of Sight,,8,out-of-sight,
kurstboy,Mulan,,7,mulan,
kurstboy,The Truman Show,,7,the-truman-show,
kurstboy,Velvet Goldmine,,7,velvet-goldmine,
kurstboy,August 32nd on Earth,,6,august-32nd-on-earth,
